,compSize,skill,experience,education,salary
149,1250.0,3,4.0,2,17.5
150,2000.0,10,2.0,2,12.5
151,1250.0,5,4.0,2,12.5
152,2000.0,12,4.0,1,12.0
153,100.0,4,4.0,2,20.0
154,2000.0,6,4.0,2,19.0
155,2000.0,10,2.0,2,11.5
156,32.5,11,4.0,2,20.0
157,2000.0,5,4.0,2,22.5
158,2000.0,7,4.0,2,40.0
159,2000.0,7,4.0,2,14.0
160,325.0,20,7.5,2,37.5
161,1250.0,11,4.0,2,21.0
162,1250.0,4,2.0,2,15.0
163,325.0,7,4.0,2,22.5
164,15.0,4,4.0,2,22.5
165,2000.0,10,4.0,2,17.5
166,1250.0,3,4.0,1,11.5
167,1250.0,5,4.0,2,20.0
168,1250.0,3,4.0,2,19.5
169,15.0,4,4.0,2,22.5
170,325.0,8,4.0,2,18.5
171,1250.0,7,4.0,2,11.5
172,1250.0,6,7.5,2,25.0
173,2000.0,8,4.0,2,25.0
174,1250.0,9,4.0,1,13.0
175,2000.0,13,4.0,2,24.0
176,1250.0,7,4.0,2,20.5
177,2000.0,11,4.0,1,12.0
178,2000.0,3,4.0,2,27.5
179,1250.0,10,4.0,2,32.5
180,1250.0,5,4.0,2,17.5
181,2000.0,8,4.0,1,12.0
182,1250.0,9,4.0,2,20.5
183,325.0,0,4.0,2,27.5
184,325.0,1,2.0,2,15.5
185,100.0,12,7.5,2,27.5
186,100.0,3,4.0,2,25.0
187,2000.0,8,7.5,1,22.5
188,2000.0,12,0.0,2,22.5
189,1250.0,2,7.5,2,35.0
190,325.0,6,4.0,2,12.5
191,32.5,7,4.0,2,15.5
192,325.0,4,4.0,2,22.5
193,32.5,3,7.5,1,20.0
194,325.0,0,4.0,2,11.5
195,1250.0,2,4.0,1,12.5
196,1250.0,12,4.0,2,20.0
197,1250.0,13,4.0,1,13.0
198,100.0,4,4.0,2,20.0
199,2000.0,12,4.0,2,12.0
200,32.5,11,4.0,1,20.0
201,1250.0,5,4.0,2,25.0
202,325.0,7,4.0,2,17.0
203,100.0,6,4.0,2,19.0
204,32.5,13,4.0,2,22.5
205,100.0,7,4.0,2,22.5
206,1250.0,9,4.0,2,25.0
207,2000.0,4,7.5,2,25.0
208,2000.0,2,7.5,1,18.5
209,325.0,12,4.0,2,19.0
210,1250.0,7,4.0,2,11.5
211,100.0,4,4.0,2,20.0
212,2000.0,9,4.0,2,20.0
213,325.0,9,4.0,2,22.5
214,325.0,11,4.0,2,15.0
215,325.0,6,4.0,2,14.0
216,2000.0,8,4.0,2,27.5
217,32.5,14,4.0,2,20.0
218,100.0,6,0.0,2,22.5
219,2000.0,5,4.0,2,15.0
220,325.0,7,4.0,2,24.0
221,32.5,4,4.0,2,22.5
222,2000.0,8,2.0,2,9.0
223,325.0,6,2.0,2,17.5
224,100.0,5,4.0,2,20.0
225,1250.0,10,4.0,2,11.5
226,1250.0,11,4.0,2,25.0
227,2000.0,10,4.0,1,12.5
228,100.0,7,7.5,2,20.0
229,1250.0,7,2.0,2,9.0
230,1250.0,11,4.0,1,13.5
231,32.5,2,7.5,2,30.0
232,32.5,3,4.0,1,21.5
233,325.0,10,2.0,2,7.5
234,100.0,4,4.0,2,20.0
235,100.0,5,7.5,2,30.0
236,100.0,6,4.0,1,12.0
237,1250.0,6,4.0,2,22.5
238,100.0,9,4.0,2,13.5
239,1250.0,5,4.0,2,22.5
240,1250.0,14,2.0,2,9.0
241,2000.0,11,4.0,1,12.0
242,325.0,7,4.0,2,17.5
243,325.0,9,4.0,2,30.0
244,1250.0,6,4.0,0,15.0
245,1250.0,10,4.0,2,12.5
246,100.0,2,0.0,2,22.5
247,325.0,21,4.0,0,13.5
248,2000.0,7,4.0,1,22.5
249,2000.0,3,4.0,2,30.0
250,2000.0,14,4.0,1,17.5
251,325.0,5,4.0,2,17.5
252,32.5,18,4.0,2,35.0
253,100.0,2,4.0,2,20.0
254,325.0,11,4.0,2,20.0
255,1250.0,10,4.0,2,15.0
256,2000.0,6,4.0,3,30.0
257,100.0,8,4.0,2,15.0
258,100.0,9,7.5,1,21.5
259,100.0,13,4.0,2,19.0
260,325.0,4,4.0,1,10.0
261,100.0,8,4.0,2,22.5
262,2000.0,9,2.0,2,15.0
263,2000.0,12,4.0,2,27.5
264,1250.0,5,4.0,2,17.5
265,2000.0,9,4.0,1,22.5
266,2000.0,10,2.0,2,9.0
267,2000.0,6,4.0,2,22.5
268,325.0,10,7.5,2,22.5
